date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:44	391991/391991	---MCZ	200	added ('OK')	text/html	etag:W/%225e92d-p10dUYTPXac4FZHQjR2EDYs3Qfc%22	https://ojo.pe/videos/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/videos/index.html	(from https://ojo.pe/)
19:41:44	208225/208225	---MCZ	200	added ('OK')	text/html	etag:W/%2231b56-7TWh3cTx+9BsGvOtgQi8uyLtvZY%22	https://ojo.pe/ojo-show/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/ojo-show/index.html	(from https://ojo.pe/)
19:41:45	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2000:41:45%20GMT	https://ojo.pe/mujer	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/mujer	(from https://ojo.pe/)
19:41:45	210471/210471	---MCZ	200	added ('OK')	text/html	etag:W/%223241c-/5eK0hd723zak1lwZJfvLkZSzGI%22	https://ojo.pe/policial/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/policial/index.html	(from https://ojo.pe/)
19:41:46	202715/202715	---MCZ	200	added ('OK')	text/html	etag:W/%22305d0-UQ11ide5pzHSS8i/TdetbdeJ3YA%22	https://ojo.pe/mujer/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/mujer/index.html	(from https://ojo.pe/)
19:41:46	209421/209421	---MCZ	200	added ('OK')	text/html	etag:W/%2232002-FVZC6vtvti5mfsWmG1KSoL1SXLE%22	https://ojo.pe/actualidad/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/actualidad/index.html	(from https://ojo.pe/)
19:41:46	207241/207241	---MCZ	200	added ('OK')	text/html	etag:W/%223177e-uUFCPHO4a82J1Iy199Xl7X2FgcQ%22	https://ojo.pe/locomundo/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/locomundo/index.html	(from https://ojo.pe/)
19:41:47	4890/4890	---M--	200	added ('OK')	binary/octet-stream	etag:%2282963cf96460a694f45357c05c4c2626%22	https://cdna.ojo.pe/resources/dist/ojo/images/logo.png?d=2631	C:/My%20Web%20Sites/PAGINA%20JUNIOR/cdna.ojo.pe/resources/dist/ojo/images/logob647.png	(from https://ojo.pe/)
19:41:47	210356/210356	---MCZ	200	added ('OK')	text/html	etag:W/%22323aa-vRQGHxzGIXKtxJPxzQkAwcKOyrA%22	https://ojo.pe/deportes/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/deportes/index.html	(from https://ojo.pe/)
19:41:48	79007/79007	---M-Z	200	added ('OK')	text/html	etag:W/%2212294-ZfxrsjLSiGGML36G7/7MHmLVTY8%22	https://ojo.pe/politica-de-privacidad/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/politica-de-privacidad/index.html	(from https://ojo.pe/)
19:41:48	79013/79013	---M-Z	200	added ('OK')	text/html	etag:W/%221229a-dIrNdlrLsPfsz9DuwPeXs/IuqKc%22	https://ojo.pe/politica-de-cookies/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/politica-de-cookies/index.html	(from https://ojo.pe/)
19:41:48	85550/85550	---M-Z	200	added ('OK')	text/html	etag:W/%2213c23-Fo3AzFj9/uB5ZuG4B3JV8ggst0U%22	https://ojo.pe/terminos-y-condiciones/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/terminos-y-condiciones/index.html	(from https://ojo.pe/)
19:41:49	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2000:41:50%20GMT	https://ojo.pe/mujer	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/mujer.12.delayed	(from https://ojo.pe/)
19:41:49	4890/4890	---M--	200	added ('OK')	binary/octet-stream	etag:%2282963cf96460a694f45357c05c4c2626%22	https://cdna.ojo.pe/resources/dist/ojo/images/logo.png?d=1	C:/My%20Web%20Sites/PAGINA%20JUNIOR/cdna.ojo.pe/resources/dist/ojo/images/logo2d2b.png	(from https://ojo.pe/)
19:41:49	3070/3070	---M--	200	added ('OK')	binary/octet-stream	etag:%22c4fdae9a733c6657363f8f020fba1aad%22	https://cdna.ojo.pe/resources/dist/ojo/images/default-md.png?d=2	C:/My%20Web%20Sites/PAGINA%20JUNIOR/cdna.ojo.pe/resources/dist/ojo/images/default-md87dd.png	(from https://ojo.pe/)
19:41:50	845641/845641	---MCZ	200	added ('OK')	text/html	etag:W/%22cd53f-ymkvgka9C2LujdHDW9/IOqzXF+Q%22	https://ojo.pe/ultimas-noticias/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/ultimas-noticias/index.html	(from https://ojo.pe/)
19:41:50	196569/196569	---MCZ	200	added ('OK')	text/html	etag:W/%222edcf-AI1m6dp4/6mw761G7J3nMgm42MI%22	https://ojo.pe/noticias/john-kelvin/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/noticias/john-kelvin/index.html	(from https://ojo.pe/)
19:41:50	9083/9083	---M--	200	added ('OK')	image/png	etag:%224f958e46a560fb2711779b97c5068cb90e943326%22	https://ojo.pe/resizer/O2iGk5oMztSgd0R--1UptPlaKzY=/980x0/smart/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/MGLYWCSO3JC7BOKM4B6MUJH5RQ.png	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/resizer/O2iGk5oMztSgd0R--1UptPlaKzY=/980x0/smart/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/MGLYWCSO3JC7BOKM4B6MUJH5RQ.png	(from https://ojo.pe/)
19:41:51	197756/197756	---MCZ	200	added ('OK')	text/html	etag:W/%222f271-fQxEWjGD0sdlwEDgC8wN3J9mVi0%22	https://ojo.pe/noticias/magaly-medina/	C:/My%20Web%20Sites/PAGINA%20JUNIOR/ojo.pe/noticias/magaly-medina/index.html	(from https://ojo.pe/)
